stage,cohort,scheme,seed,comparison,n,delta_auroc,auroc_low,auroc_high,delta_balanced_accuracy,ba_low,ba_high
stage2,all300,strict,7001,B-A,226,0.0065128688010044344,-0.011691776522285036,0.02206136220966721,0.004237288135593209,-0.01812617702448216,0.026600753295668578
stage2,all300,strict,7001,C-B,226,-0.0026679221594475555,-0.010440207156308876,0.004082313245448877,-0.01349654739485251,-0.03162272441933456,0.0
stage2,all300,strict,7001,original_C-minus-shuffled_C,226,0.0036095417451349476,-0.001490897677338343,0.00926318267419966,0.01812617702448216,0.004237288135593209,0.03703703703703698
stage2,all300,strict,7002,B-A,226,0.0065128688010044344,-0.011691776522285036,0.02206136220966721,0.004237288135593209,-0.01812617702448216,0.026600753295668578
stage2,all300,strict,7002,C-B,226,0.001647834274952964,-0.0055732109227872246,0.008474576271186422,0.0,-0.01388888888888884,0.01388888888888884
stage2,all300,strict,7002,original_C-minus-shuffled_C,226,-0.0007062146892655718,-0.005885122410546173,0.004084274952919061,0.00462962962962965,0.0,0.01388888888888895
stage2,all300,strict,7003,B-A,226,0.0065128688010044344,-0.011691776522285036,0.02206136220966721,0.004237288135593209,-0.01812617702448216,0.026600753295668578
stage2,all300,strict,7003,C-B,226,0.00023540489642182028,-0.007689893283113647,0.007221045197740077,-0.004629629629629539,-0.01388888888888895,0.0
stage2,all300,strict,7003,original_C-minus-shuffled_C,226,0.0007062146892655718,-0.005965552416823663,0.007532956685499137,0.00925925925925919,0.0,0.02314814814814825
stage2,all300,strict,7004,B-A,226,0.0065128688010044344,-0.011691776522285036,0.02206136220966721,0.004237288135593209,-0.01812617702448216,0.026600753295668578
stage2,all300,strict,7004,C-B,226,-0.002981795354676686,-0.010124372253609456,0.003297630257375998,-0.004629629629629539,-0.01388888888888895,0.0
stage2,all300,strict,7004,original_C-minus-shuffled_C,226,0.003923414940364078,-0.001647834274952964,0.009259259259259193,0.00925925925925919,0.0,0.02314814814814825
stage2,all300,strict,7005,B-A,226,0.0065128688010044344,-0.011691776522285036,0.02206136220966721,0.004237288135593209,-0.01812617702448216,0.026600753295668578
stage2,all300,strict,7005,C-B,226,-0.002589453860640356,-0.008868879472693039,0.002671845574388026,0.0,-0.01388888888888884,0.01388888888888884
stage2,all300,strict,7005,original_C-minus-shuffled_C,226,0.0035310734463277482,-0.002120605775266787,0.00957313245448832,0.00462962962962965,0.0,0.01388888888888895
stage2,common_valid,exploratory,0,B-A,285,0.00985512959495416,-0.00522691435892382,0.022716073716369304,-0.003424657534246478,-0.028432048881442795,0.021991721691140196
stage2,common_valid,exploratory,0,C-B,285,0.0009855129594953382,-0.005865034000197097,0.0072447521434906145,0.007366709372228275,-0.0065086971518676425,0.02175519858086128
stage2,common_valid,exploratory,7001,B-A,285,0.00985512959495416,-0.00522691435892382,0.022716073716369304,-0.003424657534246478,-0.028432048881442795,0.021991721691140196
stage2,common_valid,exploratory,7001,C-B,285,-0.0045826352616537,-0.01108948457672218,0.0012318911993692838,-0.010618902138563202,-0.0284320488814428,0.003597122302158251
stage2,common_valid,exploratory,7001,original_C-minus-shuffled_C,285,0.0055681482211490385,0.0008339903419729957,0.01108825268552281,0.017985611510791477,0.003597122302158251,0.03237410071942448
stage2,common_valid,exploratory,7002,B-A,285,0.00985512959495416,-0.00522691435892382,0.022716073716369304,-0.003424657534246478,-0.028432048881442795,0.021991721691140196
stage2,common_valid,exploratory,7002,C-B,285,-0.0006405834236720143,-0.006849315068493178,0.0052232186853257145,0.0,-0.01404355967280968,0.01404355967280968
stage2,common_valid,exploratory,7002,original_C-minus-shuffled_C,285,0.0016260963831673525,-0.00281117571696074,0.005667931408298007,0.007366709372228275,-0.009929043066916332,0.02517985611510787
stage2,common_valid,exploratory,7003,B-A,285,0.00985512959495416,-0.00522691435892382,0.022716073716369304,-0.003424657534246478,-0.028432048881442795,0.021991721691140196
stage2,common_valid,exploratory,7003,C-B,285,-0.0029565388784862368,-0.009467083867152825,0.0031561052527840643,-0.007194244604316613,-0.021582733812949728,0.007194244604316502
stage2,common_valid,exploratory,7003,original_C-minus-shuffled_C,285,0.003942051837981575,-0.001578052626391979,0.009953680890903652,0.014560953976544888,0.00017246476791165922,0.03237410071942448
